t	v
0.782	6000
16.283	1
16.288	8888
16.41	-1
16.41	-6000
16.412	-8888
16.449	8888
16.45	1000
46.456	-8888
46.46	8888
46.461	1000
68.167	74
68.292	-74
68.59100000000001	74
68.688	-74
69.03	74
69.118	-74
69.446	74
69.537	-74
69.888	74
69.96900000000001	-74
71.014	13
71.065	901
71.068	-13
72.068	-8888
72.072	8888
72.072	1000
74.054	-901
76.534	70
76.677	-70
76.907	70
77.057	-70
77.31400000000001	70
77.464	-70
77.708	70
77.865	-70
78.115	70
78.281	-70
79.581	13
79.587	901
79.67	-13
80.602	-8888
80.60300000000001	6000
82.604	-901
160.873	1
160.874	8888
160.986	-1
160.986	-6000
160.987	-8888
161.993	16384
161.995	1001
161.998	8888
164.24	74
164.435	-74
164.873	74
165.05	-74
165.478	74
165.629	-74
166.13400000000001	74
166.258	-74
166.79	74
166.925	-74
167.404	74
167.54	-74
168.061	74
168.186	-74
168.717	74
168.827	-74
169.41400000000002	74
169.54500000000002	-74
170.082	74
170.201	-74
170.751	74
170.873	-74
171.31300000000002	74
171.447	-74
171.814	74
171.918	-74
172.286	74
172.397	-74
172.752	74
172.863	-74
173.192	74
173.297	-74
173.627	74
173.744	-74
174.036	74
174.168	-74
174.482	74
174.604	-74
174.92000000000002	74
175.034	-74
175.323	74
175.44	-74
175.686	74
175.803	-74
176.02100000000002	74
176.136	-74
176.31300000000002	74
176.428	-74
176.584	74
176.673	-74
176.824	74
176.931	-74
177.056	74
177.148	-74
177.288	74
177.379	-74
177.502	74
177.58700000000002	-74
177.70000000000002	74
177.764	-74
177.869	74
177.942	-74
178.046	74
178.118	-74
178.211	74
178.28900000000002	-74
178.377	74
178.442	-74
178.525	74
178.598	-74
178.681	74
178.744	-74
178.835	74
178.893	-74
178.981	74
179.054	-74
179.122	74
179.19	-74
179.26500000000001	74
179.328	-74
179.399	74
179.471	-74
179.54500000000002	74
179.62	-74
179.69	74
179.745	-74
179.80700000000002	74
179.894	-74
179.955	74
180.026	-74
180.08100000000002	74
180.148	-74
180.221	74
180.296	-74
180.359	74
180.43800000000002	-74
180.473	74
180.56	-74
180.649	74
180.70600000000002	-74
180.784	74
180.852	-74
180.915	74
180.985	-74
181.04500000000002	74
181.109	-74
181.18	74
181.232	-74
181.296	74
181.36	-74
181.43	74
181.485	-74
181.556	74
181.607	-74
181.678	74
181.743	-74
181.806	74
181.87	-74
181.951	74
182.008	-74
182.095	74
182.162	-74
182.238	74
182.311	-74
182.38400000000001	74
182.452	-74
182.53	74
182.59900000000002	-74
182.671	74
182.733	-74
182.817	74
182.882	-74
182.958	74
183.017	-74
183.09	74
183.169	-74
183.234	74
183.306	-74
183.372	74
183.442	-74
183.504	74
183.586	-74
183.656	74
183.734	-74
183.812	74
183.89000000000001	-74
183.966	74
