t	v
9.585	0.429
16.368	0.335
23.729	0.357
30.93	0.373
40.303	0.439
46.804	0.402
55.448	0.382
62.401	0.325
68.91	0.4
73.463	0.303
77.697	0.349
81.661	NaN
86.385	0.285
90.47	0.288
95.114	0.308
99.548	0.282
104.056	0.382
105.844	0.338
107.955	0.307
109.636	0.514
111.487	0.287
113.394	0.316
115.732	0.29
117.612	0.434
128.119	NaN
135.0	NaN
143.557	0.622
151.932	0.402
160.933	0.393
168.975	0.471
177.819	0.411
184.975	0.431
191.48	0.519
195.884	0.37
199.594	0.412
203.637	0.385
207.373	0.513
211.929	0.389
216.615	0.439
219.947	0.443
224.455	0.698
226.741	0.473
228.837	0.377
230.642	0.372
232.313	0.357
234.108	0.378
235.799	0.391
238.05	0.396
