t	v	isi	g	mod	subj	cond	nagr10
9.537	0.332		8.0	v	0	0	
17.354	0.243	7.816999999999998	8.0	v	0	0	1.0
25.094	0.23800000000000002	7.740000000000002	8.0	v	0	0	2.0
32.211	0.298	7.116999999999997	8.0	v	0	0	2.0
39.839	0.253	7.628	8.0	v	0	0	2.0
46.309	0.247	6.469999999999999	8.0	v	0	0	2.0
53.349	0.264	7.039999999999999	8.0	v	0	0	2.0
60.305	0.228	6.956000000000003	8.0	v	0	0	2.0
66.808	0.285	6.503000000000007	4.0	v	0	0	2.0
70.725	0.20800000000000002	3.9169999999999874	4.0	v	0	0	2.0
74.79899999999999	0.782	4.073999999999998	4.0	v	0	0	3.0
78.207	0.27699999999999997	3.4080000000000013	4.0	v	0	0	3.0
82.301	0.24	4.094000000000008	4.0	v	0	0	3.0
86.65700000000001	0.252	4.356000000000009	4.0	v	0	0	3.0
90.944	0.237	4.286999999999992	4.0	v	0	0	3.0
94.87	0.271	3.926000000000002	4.0	v	0	0	3.0
99.37200000000001	0.281	4.5020000000000095	2.0	v	0	0	3.0
101.47	0.287	2.0979999999999848	2.0	v	0	0	3.0
103.47	0.239	2.0	2.0	v	0	0	4.0
105.859	0.25	2.388999999999996	2.0	v	0	0	4.0
107.654	0.231	1.7950000000000017	2.0	v	0	0	5.0
109.95	0.142	2.2960000000000065	2.0	v	0	0	5.0
111.68799999999999	0.268	1.7379999999999853	2.0	v	0	0	5.0
113.85799999999999	0.23399999999999999	2.1700000000000017	2.0	v	0	0	5.0
124.36	0.301	10.50200000000001	8.0	a	0	0	1.0
132.616	0.268	8.256000000000014	8.0	a	0	0	2.0
139.627	0.226	7.010999999999996	8.0	a	0	0	2.0
146.841	0.21899999999999997	7.213999999999999	8.0	a	0	0	2.0
156.439	0.23	9.597999999999985	8.0	a	0	0	2.0
164.40599999999998	0.28600000000000003	7.9669999999999845	8.0	a	0	0	2.0
173.93400000000003	0.215	9.528000000000048	8.0	a	0	0	2.0
183.39	0.28600000000000003	9.45599999999996	8.0	a	0	0	2.0
189.892	0.297	6.5020000000000095	4.0	a	0	0	2.0
193.649	0.308	3.757000000000005	4.0	a	0	0	2.0
197.666	0.19399999999999998	4.016999999999996	4.0	a	0	0	3.0
201.715	0.226	4.049000000000007	4.0	a	0	0	3.0
205.27	0.28600000000000003	3.555000000000007	4.0	a	0	0	3.0
209.53	0.267	4.259999999999991	4.0	a	0	0	3.0
214.12900000000002	0.252	4.599000000000018	4.0	a	0	0	3.0
218.342	0.294	4.212999999999994	4.0	a	0	0	3.0
222.84400000000002	0.264	4.5020000000000095	2.0	a	0	0	3.0
224.755	0.298	1.910999999999973	2.0	a	0	0	3.0
226.77200000000002	0.225	2.0170000000000243	2.0	a	0	0	4.0
228.918	0.231	2.1459999999999866	2.0	a	0	0	4.0
230.65900000000002	0.233	1.7410000000000139	2.0	a	0	0	5.0
232.295	0.221	1.6359999999999673	2.0	a	0	0	6.0
234.155	0.129	1.8600000000000136	2.0	a	0	0	6.0
236.081	0.204	1.9259999999999877	2.0	a	0	0	6.0
9.532	0.377		8.0	v	0	lect	
18.514	0.243	8.982	8.0	v	0	lect	1.0
28.101	0.255	9.587	8.0	v	0	lect	2.0
34.814	0.223	6.713000000000001	8.0	v	0	lect	2.0
42.49100000000001	0.281	7.677000000000007	8.0	v	0	lect	2.0
50.593999999999994	0.268	8.102999999999987	8.0	v	0	lect	2.0
57.871	0.262	7.277000000000008	8.0	v	0	lect	2.0
66.082	0.243	8.210999999999991	8.0	v	0	lect	2.0
72.585	0.316	6.503	4.0	v	0	lect	2.0
77.089	0.26	4.504000000000005	4.0	v	0	lect	2.0
81.572	0.28	4.483000000000004	4.0	v	0	lect	3.0
85.962	0.251	4.390000000000001	4.0	v	0	lect	3.0
90.73	0.22699999999999998	4.768000000000001	4.0	v	0	lect	3.0
94.588	0.22399999999999998	3.85799999999999	4.0	v	0	lect	3.0
97.93299999999999	0.239	3.344999999999999	4.0	v	0	lect	3.0
102.556		4.623000000000005	4.0	v	0	lect	3.0
107.059		4.503	2.0	v	0	lect	3.0
109.15	0.278	2.091000000000008	2.0	v	0	lect	3.0
111.0	0.33299999999999996	1.8499999999999943	2.0	v	0	lect	4.0
113.37	0.259	2.3700000000000045	2.0	v	0	lect	4.0
115.419	0.24100000000000002	2.0489999999999924	2.0	v	0	lect	5.0
117.73299999999999	0.231	2.313999999999993	2.0	v	0	lect	5.0
120.037	0.231	2.3040000000000163	2.0	v	0	lect	5.0
122.089	0.244	2.0519999999999925	2.0	v	0	lect	5.0
132.591	0.318	10.50200000000001	8.0	a	0	lect	1.0
141.11700000000002	0.256	8.52600000000001	8.0	a	0	lect	2.0
150.556	0.249	9.438999999999993	8.0	a	0	lect	2.0
157.717	0.272	7.161000000000001	8.0	a	0	lect	2.0
167.22099999999998	0.20800000000000002	9.503999999999962	8.0	a	0	lect	2.0
175.386	0.307	8.16500000000002	8.0	a	0	lect	2.0
183.313	0.22	7.9269999999999925	8.0	a	0	lect	2.0
190.144	0.42100000000000004	6.831000000000017	8.0	a	0	lect	2.0
196.646	0.287	6.501999999999981	4.0	a	0	lect	2.0
200.771	0.257	4.125	4.0	a	0	lect	2.0
204.704	0.268	3.933000000000021	4.0	a	0	lect	3.0
208.955	0.218	4.251000000000005	4.0	a	0	lect	3.0
212.955	0.23399999999999999	4.0	4.0	a	0	lect	3.0
216.454	0.28600000000000003	3.4989999999999952	4.0	a	0	lect	3.0
220.115	0.218	3.6610000000000014	4.0	a	0	lect	3.0
224.09	0.226	3.9749999999999943	4.0	a	0	lect	3.0
228.592	0.221	4.5020000000000095	2.0	a	0	lect	3.0
230.678	0.295	2.0859999999999843	2.0	a	0	lect	3.0
232.735	0.20600000000000002	2.0570000000000164	2.0	a	0	lect	4.0
234.97	0.20199999999999999	2.234999999999985	2.0	a	0	lect	4.0
237.206	0.214	2.23599999999999	2.0	a	0	lect	5.0
239.293	0.231	2.0870000000000175	2.0	a	0	lect	5.0
241.543	0.141	2.25	2.0	a	0	lect	5.0
243.78400000000002	0.237	2.241000000000014	2.0	a	0	lect	5.0
9.552999999999999	0.541		8.0	v	1	0	
17.703	0.47700000000000004	8.15	8.0	v	1	0	1.0
26.26	0.4	8.557000000000002	8.0	v	1	0	2.0
33.574	0.47	7.3139999999999965	8.0	v	1	0	2.0
40.146	0.37799999999999995	6.572000000000003	8.0	v	1	0	2.0
47.004	0.312	6.857999999999997	8.0	v	1	0	2.0
55.106	0.363	8.102000000000004	8.0	v	1	0	2.0
64.042		8.936	8.0	v	1	0	2.0
70.545	0.387	6.503	4.0	v	1	0	2.0
75.316	0.377	4.771000000000001	4.0	v	1	0	2.0
78.98899999999999	0.35100000000000003	3.6729999999999876	4.0	v	1	0	3.0
82.557	0.335	3.568000000000012	4.0	v	1	0	3.0
86.417	0.324	3.8599999999999994	4.0	v	1	0	3.0
90.846	0.342	4.429000000000002	4.0	v	1	0	3.0
94.69200000000001	0.408	3.8460000000000036	4.0	v	1	0	3.0
99.414	0.358	4.721999999999994	4.0	v	1	0	3.0
103.916	0.401	4.501999999999995	2.0	v	1	0	3.0
105.735	0.389	1.8190000000000026	2.0	v	1	0	3.0
107.359	0.33299999999999996	1.6239999999999952	2.0	v	1	0	4.0
109.081	0.379	1.7220000000000084	2.0	v	1	0	5.0
111.323	0.305	2.2419999999999902	2.0	v	1	0	5.0
113.64	0.284	2.3170000000000073	2.0	v	1	0	6.0
