year,name,sex,num,total,pos
1902,МАРИЯ,Ж,355,4178,1
1902,АННА,Ж,299,4178,2
1902,АЛЕКСАНДРА,Ж,184,4178,3
1902,ЕКАТЕРИНА,Ж,165,4178,4
1902,ТАТЬЯНА,Ж,128,4178,5
1902,ЕВДОКИЯ,Ж,119,4178,6
1902,АНАСТАСИЯ,Ж,105,4178,7
1902,ЕЛЕНА,Ж,86,4178,8
1902,ПРАСКОВЬЯ,Ж,86,4178,8
1902,ПЕЛАГЕЯ,Ж,85,4178,10
1902,КЛАВДИЯ,Ж,83,4178,11
1902,ОЛЬГА,Ж,77,4178,12
1902,НАТАЛЬЯ,Ж,75,4178,13
1902,ВЕРА,Ж,73,4178,14
1902,АЛЕКСАНДР,М,71,4178,15
1902,ИВАН,М,69,4178,16
1902,МИХАИЛ,М,68,4178,17
1902,НИКОЛАЙ,М,65,4178,18
1902,НАДЕЖДА,Ж,64,4178,19
1902,ЕЛИЗАВЕТА,Ж,60,4178,20
1902,МАТРЕНА,Ж,49,4178,21
1902,СЕРГЕЙ,М,49,4178,21
1902,ВАСИЛИЙ,М,47,4178,23
1902,ЛИДИЯ,Ж,42,4178,24
1902,ВАРВАРА,Ж,41,4178,25
1902,АНТОНИНА,Ж,40,4178,26
1902,ВАЛЕНТИНА,Ж,39,4178,27
1902,НИНА,Ж,39,4178,27
1902,ЛЮБОВЬ,Ж,38,4178,29
1902,ЗИНАИДА,Ж,38,4178,29
1902,АЛЕКСЕЙ,М,36,4178,31
1902,ПЕТР,М,35,4178,32
1902,ВЛАДИМИР,М,34,4178,33
1902,КСЕНИЯ,Ж,30,4178,34
1902,ИРИНА,Ж,28,4178,35
1902,ДАРЬЯ,Ж,27,4178,36
1902,СОФЬЯ,Ж,26,4178,37
1902,АНДРЕЙ,М,26,4178,37
1902,ДМИТРИЙ,М,26,4178,37
1902,БОРИС,М,23,4178,40
1902,ФЕДОР,М,22,4178,41
1902,ПАВЕЛ,М,22,4178,41
1902,МАРФА,Ж,22,4178,41
1902,ГРИГОРИЙ,М,21,4178,44
1902,РАИСА,Ж,21,4178,44
1902,ЕВГЕНИЯ,Ж,20,4178,46
1902,НАТАЛИЯ,Ж,19,4178,47
1902,ВИКТОР,М,18,4178,48
1902,ТАМАРА,Ж,17,4178,49
1902,СЕМЕН,М,16,4178,50
1902,ГЕОРГИЙ,М,16,4178,50
1902,ГАЛИНА,Ж,16,4178,50
1902,ЯКОВ,М,16,4178,50
1902,АГРАФЕНА,Ж,15,4178,54
1902,ЛЮДМИЛА,Ж,15,4178,54
1902,СЕРАФИМА,Ж,14,4178,56
1902,ЗОЯ,Ж,14,4178,56
1902,МАРИНА,Ж,14,4178,56
1902,ПОЛИНА,Ж,14,4178,56
1902,КОНСТАНТИН,М,13,4178,60
1902,ЮРИЙ,М,13,4178,60
1902,ИЛЬЯ,М,12,4178,62
1902,АГРИППИНА,Ж,12,4178,62
1902,ЮЛИЯ,Ж,12,4178,62
1902,СТЕПАНИДА,Ж,12,4178,62
1902,ЛЕОНИД,М,11,4178,66
1902,СОФИЯ,Ж,11,4178,66
1902,АБРАМ,М,11,4178,66
1902,ДОМНА,Ж,11,4178,66
1902,АНАТОЛИЙ,М,10,4178,70
1902,УЛЬЯНА,Ж,10,4178,70
1902,МАРГАРИТА,Ж,9,4178,72
1902,АКУЛИНА,Ж,9,4178,72
1902,ЛЕВ,М,9,4178,72
1902,ЛАРИСА,Ж,9,4178,72
1902,ЕФРОСИНЬЯ,Ж,9,4178,72
1902,ВАСИЛИСА,Ж,9,4178,72
1902,ФЕДОСЬЯ,Ж,8,4178,78
1902,САРРА,Ж,8,4178,78
1902,ФЕКЛА,Ж,8,4178,78
1902,ЭСФИРЬ,Ж,8,4178,78
1902,ЕВГЕНИЙ,М,8,4178,78
1902,АНТОН,М,7,4178,83
1902,СВЕТЛАНА,Ж,7,4178,83
1902,СТЕПАН,М,7,4178,83
1902,КАПИТОЛИНА,Ж,7,4178,83
1902,ИРАИДА,Ж,7,4178,83
1902,РАХИЛЬ,Ж,7,4178,83
1902,АНИСЬЯ,Ж,7,4178,83
1902,АГАФЬЯ,Ж,6,4178,90
1902,ЕФРОСИНИЯ,Ж,6,4178,90
1902,ТАИСИЯ,Ж,6,4178,90
1902,ФАИНА,Ж,6,4178,90
1902,РЕВЕККА,Ж,6,4178,90
1902,АФАНАСИЙ,М,6,4178,90
1902,РОЗА,Ж,6,4178,90
1902,ЛУКЕРЬЯ,Ж,6,4178,90
1902,ПРОСКОВЬЯ,Ж,5,4178,98
1902,РОЗАЛИЯ,Ж,5,4178,98
1902,ВАЛЕНТИН,М,5,4178,98
1902,ТИМОФЕЙ,М,5,4178,98
1902,АРОН,М,5,4178,98
1902,ЕГОР,М,5,4178,98
1902,ИГОРЬ,М,5,4178,98
1902,АКСИНЬЯ,Ж,5,4178,98
1902,ФИЛИПП,М,5,4178,98
1902,ВАЛЕРИЙ,М,5,4178,98
1903,МАРИЯ,Ж,411,5152,1
1903,АННА,Ж,395,5152,2
1903,АЛЕКСАНДРА,Ж,212,5152,3
1903,ЕКАТЕРИНА,Ж,153,5152,4
1903,ЕВДОКИЯ,Ж,150,5152,5
1903,ТАТЬЯНА,Ж,137,5152,6
1903,ПЕЛАГЕЯ,Ж,125,5152,7
1903,АНАСТАСИЯ,Ж,123,5152,8
1903,ПРАСКОВЬЯ,Ж,121,5152,9
1903,ОЛЬГА,Ж,112,5152,10
1903,ИВАН,М,98,5152,11
1903,ЕЛЕНА,Ж,95,5152,12
1903,АЛЕКСАНДР,М,86,5152,13
1903,КЛАВДИЯ,Ж,85,5152,14
1903,НАТАЛЬЯ,Ж,84,5152,15
1903,ЕЛИЗАВЕТА,Ж,82,5152,16
1903,МИХАИЛ,М,82,5152,16
1903,ВЕРА,Ж,76,5152,18
1903,ЗИНАИДА,Ж,70,5152,19
1903,НАДЕЖДА,Ж,63,5152,20
1903,ВАСИЛИЙ,М,62,5152,21
1903,ВАРВАРА,Ж,60,5152,22
1903,НИКОЛАЙ,М,60,5152,22
1903,ВАЛЕНТИНА,Ж,56,5152,24
1903,ЛИДИЯ,Ж,53,5152,25
1903,НИНА,Ж,53,5152,25
1903,МАТРЕНА,Ж,53,5152,25
1903,ПЕТР,М,52,5152,28
1903,СЕРГЕЙ,М,52,5152,28
1903,ВЛАДИМИР,М,51,5152,30
1903,ДМИТРИЙ,М,46,5152,31
1903,ЕВГЕНИЯ,Ж,46,5152,31
1903,МАРФА,Ж,44,5152,33
1903,АЛЕКСЕЙ,М,43,5152,34
1903,АНТОНИНА,Ж,42,5152,35
1903,СОФЬЯ,Ж,41,5152,36
1903,ПАВЕЛ,М,37,5152,37
1903,ДАРЬЯ,Ж,34,5152,38
1903,ЛЮБОВЬ,Ж,33,5152,39
1903,КСЕНИЯ,Ж,32,5152,40
1903,ИРИНА,Ж,32,5152,40
1903,ГРИГОРИЙ,М,30,5152,42
1903,АНДРЕЙ,М,30,5152,42
1903,НАТАЛИЯ,Ж,30,5152,42
1903,ЕФРОСИНЬЯ,Ж,30,5152,42
1903,БОРИС,М,27,5152,46
1903,СЕРАФИМА,Ж,27,5152,46
1903,ЛЮДМИЛА,Ж,24,5152,48
1903,ГАЛИНА,Ж,23,5152,49
1903,ФЕДОР,М,23,5152,49
1903,ЯКОВ,М,22,5152,51
1903,АГРАФЕНА,Ж,19,5152,52
1903,КОНСТАНТИН,М,19,5152,52
1903,ПОЛИНА,Ж,19,5152,52
1903,АНАТОЛИЙ,М,18,5152,55
1903,ЛЕВ,М,16,5152,56
1903,ФЕКЛА,Ж,15,5152,57
